Company Name,Scrip Name,URL,Sector,Identifier
Aether Ind,AI84,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84,specialitychemicals,aetherindustries
AFEL-RE,ER04,https://www.moneycontrol.com/india/stockpricequote/afelre/afenterprisesre/ER04,afelre,afenterprisesre
AFFORD-RE,ARA01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/affordableroboticautomationre/ARA01,miscellaneous,affordableroboticautomationre
Aftek,A14,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14,computerssoftwaremediumsmall,aftek
Agarwal Ind,AIC03,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03,transportlogistics,agarwalindustrialcorporation
AGI Greenpac,HSI02,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02,agigreenpac,agigreenpac
Agni Green,AGP,https://www.moneycontrol.com/india/stockpricequote/renewables/agnigreenpower/AGP,renewables,agnigreenpower
Agri-Tech,ATI02,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02,fertilisers,agritechindia
Agrimony Comm,AC11,https://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11,trading,agrimonycommodities
Agro Dutch Ind,ADI02,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02,foodprocessing,agrodutchindustries
AGS Transact,ATT,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT,onlineservices,agstransacttechnologies
Ahimsa Ind,AI44,https://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44,plastics,ahimsaindustries
Ahluwalia,ACI12,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12,constructioncontractingcivil,ahluwaliacontractsindia
AI Champdany,AIC02,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02,miscellaneous,aichampdanyindustries
AIK Pipes,APA,https://www.moneycontrol.com/india/stockpricequote/aikpipes/aikpipesandpolymers/APA,aikpipes,aikpipesandpolymers
Aimtron Electro,AEL03,https://www.moneycontrol.com/india/stockpricequote/electronicscomponents/aimtronelectronics/AEL03,electronicscomponents,aimtronelectronics
Air Command Tec,ACT,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/aircommandtechnologies/ACT,consumergoodswhitegoods,aircommandtechnologies
AJ Brothers,AJB,https://www.moneycontrol.com/india/stockpricequote/aluminium/ajbrothers/AJB,aluminium,ajbrothers
Ajanta Tubes,AT03,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/ajantatubes/AT03,steeltubespipes,ajantatubes
Ajcon Global,AG01,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ajconglobal/AG01,financeinvestments,ajconglobal
Ajooni Biotech,ABL01,https://www.moneycontrol.com/india/stockpricequote/diversified/ajoonibiotechltd/ABL01,diversified,ajoonibiotechltd
AJR Infra Tol,GIP01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01,constructioncontractingcivil,ajrinfratolling
Akanksha Power,API02,https://www.moneycontrol.com/india/stockpricequote/transmissiontowersequipments/akankshapowerinfrastructure/API02,transmissiontowersequipments,akankshapowerinfrastructure
Akash Agencies,AA11,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/akashagencies/AA11,financeinvestments,akashagencies
Akash Infraproj,AI76,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76,miscellaneous,akashinfraprojects
AKG Exim,AE20,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20,akgexim,akgexim
